acpid 2.0.27-1
alsa-utils 1.1.2-1
android-sdk-platform-tools r24-3
anki 2.0.36-2
aspell 0.60.6.1-5
aspell-en 2016.06.26-1
astyle 2.05.1-2
audacity 2.1.2-3
autoconf 2.69-3
automake 1.15-1
b43-fwcutter 019-1
bash 4.3.046-1
bbswitch 0.8-53
bind-tools 9.10.4.P2-1
binutils 2.27-1
bison 3.0.4-2
bitlbee 3.4.2-1
blueman 2.0.4-2
bluez-utils 5.41-2
btrfs-progs 4.7-1
bumblebee 3.2.1-12
bzip2 1.0.6-5
bzr 2.7.0-1
cabextract 1.6-1
cairo 1.14.6-2
cantarell-fonts 1:0.0.25-2
ccache 3.2.7-1
chromium-pepper-flash 1:22.0.0.209-1
clang 3.8.1-1
clang-tools-extra 3.8.1-1
cmake 3.6.1-1
compton 0.1_beta2.5-3
coreutils 8.25-2
cowfortune 0.1.2-4
crda 3.18-1
cryptsetup 1.7.2-1
ctags 5.8-5
device-mapper 2.02.164-1
dhcpcd 6.11.3-1
dialog 1:1.3_20160424-1
diffutils 3.5-1
dmenu 4.6-1
dmraid 1.0.0.rc16.3-10
dnsmasq 2.76-1
dosfstools 4.0-3
downgrade 5.3.0-1
dunst 1.1.0-1
e2fsprogs 1.43.1-2
exfat-utils 1.2.4-1
f2fs-tools 1.6.1-1
faenza-icon-theme 1.3.1-4
fakeroot 1.21-2
feh 2.17-1
file 5.28-1
file-roller 3.20.3-1
filesystem 2015.09-1
findutils 4.6.0-2
firefox 48.0.2-1
firejail 0.9.40-1
fish-git 2:2.3.1.r492.g3702616-1
flex 2.6.1-1
fontconfig 2.12.1-3
fontforge 20160404-1
freetype2 2.6.5-2
freshplayerplugin 0.3.5-2
gawk 4.1.3-2
gcc 6.1.1-5
gcc-libs 6.1.1-5
gdb 7.11.1-2
geany 1.28-1
gettext 0.19.8.1-2
gimp 2.8.18-1
git 2.9.3-1
glibc 2.24-2
go 2:1.7-1
go-tools 2:1.7-1
gocode-bin 20150420-1
goi3bar-git 0e2229-1
gparted 0.26.1-1
gprof2dot 2015.12.1-1
grep 2.25-2
groff 1.22.3-7
grub 1:2.02.beta3-3
grub2-theme-archlinux 1.0-4
gtk-engines 2.21.0-3
gvfs 1.28.3-1
gvfs-mtp 1.28.3-1
gzip 1.8-2
haveged 1.9.1-2
hostapd 2.5-2
htop 2.0.2-1
hugo 0.16-1
i3-wm 4.12-1
i3lock 2.8-1
i3status 2.10-1
imgur-screenshot-git 1.7.4.r6.g6a4433a-1
inetutils 1.9.4-4
inotify-tools 3.14-4
iproute2 4.7.0-1
iputils 20160308.0db72a4-1
ipw2100-fw 1.3-7
ipw2200-fw 3.1-5
ipython 5.0.0-2
j4-dmenu-desktop 2.14-1
jfsutils 1.1.15-4
less 481-2
libnotify 0.7.6-2
libtool 2.4.6-5
libtxc_dxtn 1.0.1-6
libva-intel-driver 1.7.1-1
licenses 20140629-1
linux 4.7.2-1
lldb 3.8.1-1
lm_sensors 3.4.0-1
logrotate 3.9.2-1
lvm2 2.02.164-1
lxappearance 0.6.2-1
m4 1.4.17-2
make 4.2.1-1
man-db 2.7.5-4
man-pages 4.07-1
mdadm 3.4-1
mediainfo 0.7.87-1
modemmanager 1.6.0-1
mpv 1:0.20.0-1
nano 2.6.3-1
neovim 0.1.5-1
net-tools 1.60.20160710git-1
netctl 1.12-2
nfs-utils 1.3.4-1
nilfs-utils 2.2.4-1
noto-fonts-emoji 20160714-1
ntfs-3g 2016.2.22-1
ntp 4.2.8.p8-1
nvidia 370.23-4
openssh 7.3p1-1
opus-tools 0.1.9-1
os-prober 1.71-1
otf-inconsolata-g-powerline-git r100.a44abd0-2
p7zip 16.02-2
pacman 5.0.1-4
patch 2.7.5-1
pavucontrol 3.0-4
pciutils 3.5.1-1
pcmciautils 018-7
perl 5.24.0-1
perl-net-dbus 1.1.0-3
perl-time-duration 1:1.20-1
pkg-config 0.29.1-2
pkgfile 15-1
pkgstats 2.3-6
postgresql 9.5.4-1
primus 20151110-6
procps-ng 3.3.12-1
psmisc 22.21-3
pulseaudio-bluetooth 9.0-1
python-docutils 0.12-3
python-neovim 0.1.9-1
python-nose 1.3.7-2
python-virtualenvwrapper 4.7.2-1
python2-gobject 3.20.1-1
python2-neovim 0.1.9-1
python2-notify 0.1.1-13
qalculate-gtk 0.9.9-1
qcachegrind 0.7.4-6
qt5ct 0.25-1
reiserfsprogs 3.6.25-1
rfkill 0.5-1
rsync 3.1.2-1
s-nail 14.8.10-1
sbt 1:0.13.12-1
scala 2.11.8-1
scala-docs 2.11.8-1
scidb-svn 2:1.0.beta.r1095-1
screen 4.4.0-1
scrot 0.8.13-1
sed 4.2.2-4
shadow 4.2.1-3
sharutils 4.15.2-2
stockfish-git r3826.g76971d8-1
subversion 1.9.4-1
sudo 1.8.17.p1-1
swig 3.0.10-1
sysfsutils 2.1.0-9
